 
Rerun routine. 
wc    7.3890560989
LA0    0.5496161732
THETA    1.6584908414
THETAHW    0.0000000000
sigmam    1.0000000000
lsbar    0.2671232877
MtoF    1.0000000000
sstaysingleh    0.1449000000
sstaysinglew    0.1449000000
mm    0.0000000000
wb    0.0000000000
typeic    3.7000000000
ic0_    0.0000000000
p0_1    1.0236165566
p0_2    0.9294930026
p0_3    0.9221088535
wfh    0.0000000000
hs_wfh    1.0000000000
p0_4    1.0000000000
wfh_share    1.0000000000
Sup1    0.0000000000
SupS    0.0000000000
Tx    5.1813471503
Tl    5.1813471503
 
 parameter value - raw inputs
eta_  -1.650000000000000
crra_  0.169000000000000
crrat_  0.730000000000000
wgap_raw  -1.460000000000000
d  0.897000000000000
line  4.000000000000000
A1  -0.180000000000000
AC_sub  0.105000000000000
sel  -1.100000000000000
pid_  -1.000000000000000
PHID_  1.000000000000000
jobdif_  0.877000000000000
Jcenter  1.630000000000000
plocal_  0.500000000000000
muw  0.240000000000000
sw  -1.000000000000000
Xi  1.800000000000000
wc  2.000000000000000
LA0  0.199120000000000
 
GMM =         9.62843756
time =        43.83372220
 data and simulated moments 
scommiles      8.66691216      8.50697878
shcommiles_dif     -2.70849410     -2.69876976
swcommiles_difw     -0.29730105     -0.09185406
whours_pww_dif   -671.54653071   -720.58185105
hhours_pww   2206.54212703   2130.33305734
hhours_pwn_dif     63.10283874    209.66697619
shours   1873.12607014   1884.05266852
whwk_pww    973.91420861   1021.70530986
whwk_pwn_dif    683.00321900    670.34609843
hhwk_pww_dif   -604.50613192   -630.76360837
hhwk_pwn_difhpww    -50.52416769   -115.00552838
shwk    495.34145666    494.15457101
wlfp_dif     -0.22074336     -0.15091593
hlfp      0.97377889      0.95403921
wagegap_hw_withn     -0.24397495     -0.24351494
hdj     20.27689349     20.25005021
hdo     20.02657681     20.15671250
d_jobjob_all_psid     17.30000361     15.36790748
d_jobjob_hwithin_psid     16.26666944     14.84999495
d_jobjob_hw_actual      9.74049414     11.43696188
scity_dif      0.07038010      0.09396604
sdo_dif     -1.69306874     -1.47212930
wdo_dif      0.02794151      0.07567499
abs_hdo_wdo      1.86223858      1.87500665
betacom_w     -0.10535006     -0.12054021
betalfp_w     -0.00158860     -0.00568465
betahrs_w     -2.48452209     -2.86544988
betahrs0_w     -5.14604086     -8.24321867
betahwk_w      3.28461779      4.93167564
betacom      0.70642426      0.99664823
betalfp     -0.00192247     -0.00360766
betahrs     -4.93468120    -18.72957952
betahrs0     -5.46210312    -23.91106727
betahwk     -1.06397872      2.26677111
betalwg_w     -0.00117863     -0.00139862
sdj_dif     -1.40987482     -1.37899384
shouseexp      0.19300000      0.19788785
scity      0.39191477      0.33194921
sjobscity      0.49779057      0.60799073
p_gradient     -0.00876873     -0.00684590
p_gradient_simple      0.07276506      0.10043805
snmarried      0.14490000      0.14491376
L      0.53600000      0.54961617
clmm      0.00000000     -0.04126703
 
 data and simulated moments: and dif and weighted dif 
scommiles      0.15993338     -0.33721516
shcommiles_dif     -0.00972434      0.02668201
swcommiles_difw     -0.20544699      0.02178957
whours_pww_dif     49.03532033     -0.24953918
hhours_pww     76.20906968     -0.63819737
hhours_pwn_dif   -146.56413745      0.64164871
shours    -10.92659838      0.03927596
whwk_pww    -47.79110125      0.48235620
whwk_pwn_dif     12.65712057     -0.04331241
hhwk_pww_dif     26.25747645     -0.24584977
hhwk_pwn_difhpww     64.48136069     -0.47081130
shwk      1.18688565     -0.00645786
wlfp_dif     -0.06982743      0.71916705
hlfp      0.01973968     -0.49625391
wagegap_hw_withn     -0.00046001      0.01071313
hdj      0.02684328     -0.24477594
hdo     -0.13013569      0.11559653
d_jobjob_all_psid      1.93209613     -0.55005774
d_jobjob_hwithin_psid      1.41667449     -0.40246950
d_jobjob_hw_actual     -1.69646774      0.30050925
scity_dif     -0.02358595      0.11281959
sdo_dif     -0.22093944      0.09721867
wdo_dif     -0.04773348      0.01410903
abs_hdo_wdo     -0.01276808      0.01373946
betacom_w      0.01519016     -0.02365533
betalfp_w      0.00409605     -1.67536617
betahrs_w      0.38092780     -0.64118277
betahrs0_w      3.09717781     -0.54773895
betahwk_w     -1.64705785      0.14321915
betacom     -0.29022397      0.13117304
betalfp      0.00168519     -0.09479240
betahrs     13.79489832     -0.35920130
betahrs0     18.44896415     -0.52805611
betahwk     -3.33074983      0.05589421
betalwg_w      0.00021999     -0.01147930
sdj_dif     -0.03088098      0.14498828
shouseexp     -0.00488785      0.15456748
scity      0.05996556     -0.41005663
sjobscity     -0.11020016      0.57332842
p_gradient     -0.00192282      0.03958964
p_gradient_simple     -0.02767299      0.69069862
snmarried     -0.00001376      0.00020533
L     -0.01361617      0.00259382
clmm      0.04126703     -1.30497817
 
 parameter value
wa   24.3827510790
b    0.0018814014
ce_    1.0000000000
ces_    1.0000000000
le_   12.9135215567
NLY    0.0000000000
eta_    0.1920499086
crra_    1.1841201389
crrat_    2.0750806077
crrah_    1.1841201389
pi_    0.4727163922
piw_    0.5541784037
piel_    0.4745824720
crrax_    0.6604936062
pish_    0.3809055188
wgap_raw   -0.2322362747
d   24.5223535898
line    1.9525741268
AS1    0.0000000000
A1   -0.1800000000
AC_sub    0.1050000000
sel    0.3328710837
dmin    0.0000000000
AC2    0.0000000000
pid_    0.3678794412
PHID_    2.7182818285
gamd_ 2000.0000000000
deltaw_    0.5000000000
jobdif_    2.4036778455
Jcenter    5.1038747185
plocal_    0.6224593312
Jseg    0.7055980000
muw    0.2400000000
sw    0.3678794412
Xi    6.0496474644
wc    7.3890560989
LA0    0.5496161732
THETA    1.6584908471
THETAHW    0.0000000000
sigmam    1.0000000000
lsbar    0.2671232877
MtoF    1.0000000000
sstaysingleh    0.1449000000
sstaysinglew    0.1449000000
mm    0.0000000000
wb    0.0000000000
typeic    3.7000000000
ic0_    0.0000000000
p0_1    1.0236165566
p0_2    0.9294930026
p0_3    0.9221088535
wfh    0.0000000000
hs_wfh    1.0000000000
p0_4    1.0000000000
wfh_share    1.0000000000
Sup1    0.0000000000
SupS    0.0000000000
Tx    5.1813471503
Tl    5.1813471503
 
 parameter value - raw inputs
eta_  -1.650000000000000
crra_  0.169000000000000
crrat_  0.730000000000000
wgap_raw  -1.460000000000000
d  0.897000000000000
line  4.000000000000000
A1  -0.180000000000000
AC_sub  0.105000000000000
sel  -1.100000000000000
pid_  -1.000000000000000
PHID_  1.000000000000000
jobdif_  0.877000000000000
Jcenter  1.630000000000000
plocal_  0.500000000000000
muw  0.240000000000000
sw  -1.000000000000000
Xi  1.800000000000000
wc  2.000000000000000
LA0  0.199120000000000
 
GMM =         9.62834616
time =        43.19965260
 data and simulated moments 
scommiles      8.66691216      8.50697878
shcommiles_dif     -2.70849410     -2.69876976
swcommiles_difw     -0.29730105     -0.09185401
whours_pww_dif   -671.54653071   -720.58186321
hhours_pww   2206.54212703   2130.33305710
hhours_pwn_dif     63.10283874    209.66697644
shours   1873.12607014   1884.05266851
whwk_pww    973.91420861   1021.70531445
whwk_pwn_dif    683.00321900    670.34609384
hhwk_pww_dif   -604.50613192   -630.76361335
hhwk_pwn_difhpww    -50.52416769   -115.00552800
shwk    495.34145666    494.15457101
wlfp_dif     -0.22074336     -0.15091593
hlfp      0.97377889      0.95403921
wagegap_hw_withn     -0.24397495     -0.24351494
hdj     20.27689349     20.25005021
hdo     20.02657681     20.15671250
d_jobjob_all_psid     17.30000361     15.36790748
d_jobjob_hwithin_psid     16.26666944     14.84999494
d_jobjob_hw_actual      9.74049414     11.43696183
scity_dif      0.07038010      0.09396604
sdo_dif     -1.69306874     -1.47212930
wdo_dif      0.02794151      0.07567499
abs_hdo_wdo      1.86223858      1.87500666
betacom_w     -0.10535006     -0.12054022
betalfp_w     -0.00158860     -0.00568465
betahrs_w     -2.48452209     -2.86545103
betahrs0_w     -5.14604086     -8.24321951
betahwk_w      3.28461779      4.93167598
betacom      0.70642426      0.99664826
betalfp     -0.00192247     -0.00360766
betahrs     -4.93468120    -18.72957203
betahrs0     -5.46210312    -23.91106164
betahwk     -1.06397872      2.26676883
betalwg_w     -0.00117863     -0.00139862
sdj_dif     -1.40987482     -1.37899384
shouseexp      0.19300000      0.19788785
scity      0.39191477      0.33194921
sjobscity      0.49779057      0.60799073
p_gradient     -0.00876873     -0.00684590
p_gradient_simple      0.07276506      0.10043805
snmarried      0.14490000      0.14491376
L      0.53600000      0.54961617
clmm      0.00000000     -0.04126590
 
 data and simulated moments: and dif and weighted dif 
scommiles      0.15993338     -0.33721516
shcommiles_dif     -0.00972434      0.02668199
swcommiles_difw     -0.20544704      0.02178958
whours_pww_dif     49.03533249     -0.24953925
hhours_pww     76.20906993     -0.63819737
hhours_pwn_dif   -146.56413770      0.64164872
shours    -10.92659837      0.03927596
whwk_pww    -47.79110584      0.48235625
whwk_pwn_dif     12.65712516     -0.04331243
